model,dims,strategy,size
resnet18,1x3x128x128,Greedy by Size,11622304
resnet18,1x3x128x128,greedy_by_size_with_first_gap,11622304
resnet18,1x3x128x128,Greedy by Longest,11622304
resnet18,1x3x128x128,greedy_by_longest_with_first_gap,11622304
resnet18,1x3x128x128,Symbolic CSP,11622304
alexnet,1x3x128x128,Greedy by Size,244802208
alexnet,1x3x128x128,greedy_by_size_with_first_gap,244802208
alexnet,1x3x128x128,Greedy by Longest,244802208
alexnet,1x3x128x128,greedy_by_longest_with_first_gap,244802208
alexnet,1x3x128x128,Symbolic CSP,244802208
vgg16,1x3x128x128,Greedy by Size,561782432
vgg16,1x3x128x128,greedy_by_size_with_first_gap,561782432
vgg16,1x3x128x128,Greedy by Longest,565829024
vgg16,1x3x128x128,greedy_by_longest_with_first_gap,565829024
vgg16,1x3x128x128,Symbolic CSP,561782432
densenet,1x3x128x128,Greedy by Size,118134688
densenet,1x3x128x128,greedy_by_size_with_first_gap,117358624
densenet,1x3x128x128,Greedy by Longest,117404704
densenet,1x3x128x128,greedy_by_longest_with_first_gap,117404704
densenet,1x3x128x128,Symbolic CSP,117348256
mobilenet_v2,1x3x128x128,Greedy by Size,8269728
mobilenet_v2,1x3x128x128,greedy_by_size_with_first_gap,8269728
mobilenet_v2,1x3x128x128,Greedy by Longest,8269728
mobilenet_v2,1x3x128x128,greedy_by_longest_with_first_gap,8269728
mobilenet_v2,1x3x128x128,Symbolic CSP,8269728
mobilenet_v3_large,1x3x128x128,Greedy by Size,18181344
mobilenet_v3_large,1x3x128x128,greedy_by_size_with_first_gap,18181344
mobilenet_v3_large,1x3x128x128,Greedy by Longest,18181344
mobilenet_v3_large,1x3x128x128,greedy_by_longest_with_first_gap,18181344
mobilenet_v3_large,1x3x128x128,Symbolic CSP,18181344
mobilenet_v3_small,1x3x128x128,Greedy by Size,8895104
mobilenet_v3_small,1x3x128x128,greedy_by_size_with_first_gap,8893984
mobilenet_v3_small,1x3x128x128,Greedy by Longest,8893984
mobilenet_v3_small,1x3x128x128,greedy_by_longest_with_first_gap,8893984
mobilenet_v3_small,1x3x128x128,Symbolic CSP,8893984
resnext50_32x4d,1x3x128x128,Greedy by Size,17117088
resnext50_32x4d,1x3x128x128,greedy_by_size_with_first_gap,17117088
resnext50_32x4d,1x3x128x128,Greedy by Longest,17117088
resnext50_32x4d,1x3x128x128,greedy_by_longest_with_first_gap,17117088
resnext50_32x4d,1x3x128x128,Symbolic CSP,17117088
wide_resnet50_2,1x3x128x128,Greedy by Size,46538656
wide_resnet50_2,1x3x128x128,greedy_by_size_with_first_gap,46538656
wide_resnet50_2,1x3x128x128,Greedy by Longest,46538656
wide_resnet50_2,1x3x128x128,greedy_by_longest_with_first_gap,46538656
wide_resnet50_2,1x3x128x128,Symbolic CSP,46538656
mnasnet,1x3x128x128,Greedy by Size,6869920
mnasnet,1x3x128x128,greedy_by_size_with_first_gap,6869920
mnasnet,1x3x128x128,Greedy by Longest,6938528
mnasnet,1x3x128x128,greedy_by_longest_with_first_gap,6938528
mnasnet,1x3x128x128,Symbolic CSP,6869920
efficientnet_b0,1x3x128x128,Greedy by Size,10788080
efficientnet_b0,1x3x128x128,greedy_by_size_with_first_gap,10788080
efficientnet_b0,1x3x128x128,Greedy by Longest,10788080
efficientnet_b0,1x3x128x128,greedy_by_longest_with_first_gap,10788080
efficientnet_b0,1x3x128x128,Symbolic CSP,10788080
efficientnet_b1,1x3x128x128,Greedy by Size,12720688
efficientnet_b1,1x3x128x128,greedy_by_size_with_first_gap,12720688
efficientnet_b1,1x3x128x128,Greedy by Longest,12720688
efficientnet_b1,1x3x128x128,greedy_by_longest_with_first_gap,12720688
efficientnet_b1,1x3x128x128,Symbolic CSP,12720688
efficientnet_b2,1x3x128x128,Greedy by Size,14055480
efficientnet_b2,1x3x128x128,greedy_by_size_with_first_gap,14055480
efficientnet_b2,1x3x128x128,Greedy by Longest,14055480
efficientnet_b2,1x3x128x128,greedy_by_longest_with_first_gap,14055480
efficientnet_b2,1x3x128x128,Symbolic CSP,14055480
efficientnet_b3,1x3x128x128,Greedy by Size,18324632
efficientnet_b3,1x3x128x128,greedy_by_size_with_first_gap,18324632
